Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Etat arc_Barré;Etat arc_Invalide
AV_Champs_Elysees;2022-01-01 11:00:00;524.0;8.85667;1;0;1
AV_Champs_Elysees;2022-01-01 07:00:00;491.0;7.71611;1;0;1
AV_Champs_Elysees;2022-01-01 19:00:00;997.0;46.28889;3;0;1
AV_Champs_Elysees;2022-01-01 18:00:00;1096.0;46.60222;3;0;1
AV_Champs_Elysees;2022-01-01 09:00:00;258.0;3.75445;1;0;1
AV_Champs_Elysees;2022-01-01 16:00:00;1191.0;35.55445;3;0;1
AV_Champs_Elysees;2022-01-01 04:00:00;500.0;67.08111;4;0;1
AV_Champs_Elysees;2022-01-01 21:00:00;976.0;43.19167;3;0;1
AV_Champs_Elysees;2021-12-14 00:00:00;1024.0;13.06278;1;0;1
AV_Champs_Elysees;2021-12-13 23:00:00;1141.0;17.64834;2;0;1
AV_Champs_Elysees;2021-12-13 20:00:00;1132.0;30.02667;3;0;1
AV_Champs_Elysees;2021-12-13 19:00:00;1226.0;31.65889;3;0;1
AV_Champs_Elysees;2021-12-13 18:00:00;1276.0;30.663890000000002;0;0;1
AV_Champs_Elysees;2021-12-13 17:00:00;1326.0;29.66889;2;0;1
AV_Champs_Elysees;2021-12-13 16:00:00;1259.0;29.73778;0;0;1
AV_Champs_Elysees;2021-12-13 12:00:00;1192.0;29.80667;2;0;1
AV_Champs_Elysees;2021-12-13 11:00:00;1230.0;21.05945;2;0;1
AV_Champs_Elysees;2021-12-13 10:00:00;1287.0;21.57278;2;0;1
AV_Champs_Elysees;2021-12-13 09:00:00;1289.0;16.45444;2;0;1
AV_Champs_Elysees;2021-12-13 08:00:00;1098.0;15.085;2;0;1
AV_Champs_Elysees;2021-12-13 07:00:00;712.0;7.74;1;0;1
AV_Champs_Elysees;2021-12-13 05:00:00;245.0;2.19833;1;0;1
AV_Champs_Elysees;2021-12-13 03:00:00;348.0;3.53389;1;0;1
AV_Champs_Elysees;2021-12-13 02:00:00;470.0;5.32222;1;0;1
AV_Champs_Elysees;2022-08-02 16:00:00;589.1666666666666;9.156665;0;0;1
AV_Champs_Elysees;2022-08-02 15:00:00;708.3333333333334;12.991109999999999;0;0;1
AV_Champs_Elysees;2022-08-02 14:00:00;827.5;16.825555;0;0;1
AV_Champs_Elysees;2022-08-02 18:00:00;946.6666666666667;20.66;0;0;1
AV_Champs_Elysees;2022-08-02 17:00:00;1065.8333333333335;24.494445;0;0;1
AV_Champs_Elysees;2022-11-02 14:00:00;1185.0;28.32889;2;0;1
